萨马兰奇全球航海运动基金航海文化艺术中心创作展览交流基地落户湄洲岛,中新网莆田1月9日电 (李远飞)1月8日，萨马兰奇全球航海运动基金航海文化艺术中心湄洲岛创作展览交流基地签约和授牌仪式在莆田举行。 活动现场 　　李远飞 供图 　　世界帆船联合会主席李全海，中国美术家协会副主席徐里，莆田市委副书记、市长林旭阳等出席仪式。 　　世界帆船联合会主席李全海在致辞中说...,http://www.chinanews.com.cn/ty/2024/01-09/10142592.shtml
世间再无“足球皇帝”,当地时间8日，据多家德媒报道，有“足球皇帝”之称的德国足坛传奇球星弗朗茨&middot;贝肯鲍尔去世，享年78岁。 资料图：贝肯鲍尔举起大力神杯 　　贝肯鲍尔1945年出生于德国巴伐利亚州慕尼黑，他是德国乃至世界足坛的标志性人物，在球员与教练时期都获得了巨大成功。 　　被称为“足球皇帝”的贝肯...,http://www.chinanews.com.cn/ty/2024/01-09/10142557.shtml
德国足球巨星贝肯鲍尔逝世 享年78岁,中新社柏林1月8日电 据德媒8日报道，德国足球巨星弗朗茨&middot;贝肯鲍尔于当地时间7日逝世，享年78岁。其家人于8日向媒体宣布了这一消息。 　　贝肯鲍尔于1945年9月11日出生，在慕尼黑长大。13岁时，他作为青年球员加入了拜仁慕尼黑，并很快成为球队核心球员，20岁时已经成为德国国家队...,http://www.chinanews.com.cn/ty/2024/01-09/10142555.shtml
中国足球职业联赛新政先救急再救穷,1月8日上午，河南足球俱乐部发布招商合作公告，寻求新赛季球队冠名权(河南XX足球队)、球衣广告、赛场广告合作伙伴。对于国内职业俱乐部而言，上述3项可以归属于俱乐部自身的商业权益，将决定整个赛季球队运营前景——绝大多数中超球队上周集结进入冬训阶段，而招商的意义显然不亚于冬训：招商顺利，球队、球员...,http://www.chinanews.com.cn/ty/2024/01-09/10142535.shtml
中国马拉松纪录保持者杨绍辉无惧失败,“中国马拉松最近发生了什么？”杨绍辉成了最有说服力的人。 　　在1月7日举行的厦门马拉松，两届厦马男子冠军、新晋中国马拉松纪录保持者杨绍辉被问及国内选手全面提速的原因，他给出“精神”“训练”“环境”3个答案。 　　“经历了新冠疫情，大部分运动员都憋着一股劲儿，去年回到赛场，能量才得到释放；多年...,http://www.chinanews.com.cn/ty/2024/01-09/10142534.shtml
体育赛事撬动消费潜能,近年来，每逢举办大型体育赛事，“一票难求”“一签难中”似乎成了常态。这股全民体育热潮的背后，是体育消费在扩大内需、助力构建新发展格局中释放的蓬勃潜力。　　日前召开的中央经济工作会议将“着力扩大国内需求”列为2024年经济工作的重点，提出“推动消费从疫后恢复转向持续扩大，培育壮大新型消费，大力发...,http://www.chinanews.com.cn/ty/2024/01-09/10142531.shtml
后冬奥时代 中国冰雪为何在哈尔滨爆发,2023岁末至2024伊始的这个冬天，哈尔滨彻底火了，蜂拥而至的“南方小土豆”挤爆了哈尔滨的各大景点，他们在冰天雪地中撒欢，享受着丰富多彩的冰雪体验，感受着淳朴的东北文化和东北人的热情豪爽。哈尔滨在这个冬天的突然走红，被视为后北京冬奥时代中国冰雪经济由量变到质变的节点。但这个节点为什么出现在哈...,http://www.chinanews.com.cn/ty/2024/01-09/10142530.shtml
大学生球员在CBA联赛渐入佳境,青岛男篮的王睿泽有个外号叫“核动力”，这是球迷用来形容他本赛季的出场时间的。数据显示，他在本赛季已经进行的26轮联赛中，场均出场时间达到了40.7分钟，仅次于吉林男篮的姜宇星，排名整个联赛第二位。 　　王睿泽的出场时间，证明了他在青岛男篮的重要性。在主教练刘维伟的指挥下，他已经成为了球队不可或...,http://www.chinanews.com.cn/ty/2024/01-09/10142528.shtml
德国球星“足球皇帝”贝肯鲍尔去世,德国足球巨星弗朗茨&middot;贝肯鲍尔于当地时间1月7日去世，终年78岁。贝肯鲍尔的家人8日向媒体宣布了这一消息。 　　作为世界足坛传奇人物，贝肯鲍尔被誉为“足球皇帝”，曾2次成为金球奖得主。(总台记者 阮佳闻),http://www.chinanews.com.cn/ty/2024/01-09/10142502.shtml
国足确认亚洲杯5位队长人选 吴曦担任场上第一队长,国足确认亚洲杯5位队长人选 　　吴曦担任场上第一队长 其余4人分别为 张琳芃、武磊、蒋光太、颜骏凌 　　当地时间1月8日上午，中国队前往卡塔尔大学参加抵达当地后的第二次室外训练。此后球队将重新恢复“一日两练”的高训练强度，所有训练内容也将全面围绕亚洲杯小组赛技战术安排来展开。据了解，中国队目前...,http://www.chinanews.com.cn/ty/2024/01-09/10142501.shtml
图解：2024 中国体育健儿再出发！,人民网记者 杨磊,http://www.chinanews.com.cn/ty/2024/01-08/10142452.shtml
