“印加——秘鲁安第斯文明特展”在成都开展,中新网成都1月9日电 (单鹏 张浪)“印加——秘鲁安第斯文明特展”开幕式9日晚在成都金沙遗址博物馆举行。在秘鲁民歌《山鹰之歌》的旋律中，此次特展序幕正式拉开。 展览现场。张浪摄 　　秘鲁西坎文化的黄金面具，反映秘鲁先民哲学思想的马镫口陶瓶，生动呈现动物崇拜和祭祀仪礼的猫形金制斗篷，历经千年仍不...,http://www.chinanews.com.cn/cul/2024/01-09/10143098.shtml
故宫文化打造“宫囍龙凤呈祥”文创项目 让深宫中的非遗走进生活,中新网北京1月9日电 (记者 应妮)“绣美天工——织绣技艺传承创新座谈会”日前在故宫博物院紫禁书院举行。专家学者、非遗传承人和嘉宾齐聚一堂，聚焦织绣技艺在文创领域的文化传承与创新应用进行深入探讨。 座谈会现场展示的“宫囍龙凤呈祥”主题织绣纹样。主办方供图 　　非物质文化遗产集历史、文学、艺术、...,http://www.chinanews.com.cn/cul/2024/01-09/10143086.shtml
以展为媒 148幅画作沪上展出彰显贵州山乡巨变,中新网上海1月9日电 (谢梦圆)9日下午，“山乡巨变——中国式现代化的贵州实践”美术家写生创作作品展暨从“徐悲鸿的贵州土纸”开始——中国美术新体验作品展在上海海派艺术馆正式亮相，向申城人民展现贵州的新气象与新面貌。 　　“‘山乡巨变——中国式现代化的贵州实践’美术家写生创作作品展”以写生创作展...,http://www.chinanews.com.cn/cul/2024/01-09/10143094.shtml
品“丹青里的广府年味”：春睡画院创办百年系列活动启动,中新网广州1月9日电 (记者 蔡敏婕)广州越秀是岭南画派的重要发源地之一。今年是岭南画派创始人之一的高剑父创办春睡画院101年，“春睡画院创办百年系列活动”9日在广州启动。本次系列活动结合“可听、可赏、可创”的活动组合，展现岭南画派的独特魅力，带动岭南画派进一步“破圈”发展。 “春睡画院创办百...,http://www.chinanews.com.cn/cul/2024/01-09/10143115.shtml
北京东城多措保护好中轴线 实施永定门等文物建筑修缮保养,中新网北京1月9日电 (记者 陈杭)北京市东城区将以中轴线保护为牵引，统筹推进历史文化街区风貌保护、重点文物腾退修缮和活化利用。实施中轴线文化传播工程，讲好“中轴故事”。 　　9日，北京市东城区区长周金星在北京市东城区第十七届人民代表大会第四次会议上作东城区政府工作报告时提到以上内容。 图为北...,http://www.chinanews.com.cn/cul/2024/01-09/10143087.shtml
中蒙摄影家作品交流展在天津举行 100件作品续写“乌兰巴托之夜”新故事,中新网天津1月9日电 (刘俊苍)由天津市文化旅游摄影协会、天津美术馆共同主办的“《友谊之风情，近邻之风采》中国——蒙古国摄影家作品交流展”，1月9日上午在天津美术馆开幕。展览共展出两国摄影家的作品100幅，其中，蒙古国摄影家作品11幅，中国摄影家作品89幅。 观众在展览现场观看作品。刘俊苍 摄...,http://www.chinanews.com.cn/cul/2024/01-09/10143028.shtml
致敬“了不起的她们”！39位女性艺术家近百件作品亮相北京凤凰中心,中新网北京1月9日电 (记者 应妮)“了不起的‘她们’——福布斯中国致敬卓越女性艺术家邀请展”日前在北京凤凰中心开展，呈现了39位来自不同背景和时代的女性艺术家的近百件作品。 展览现场。　主办方供图 　　本次展览邀请美术史学者陶咏白为学术主持，大展将中国当代女性艺术家中的代表人物齐聚一堂，以“...,http://www.chinanews.com.cn/cul/2024/01-09/10142999.shtml
北京电影学院2024新年文艺汇演逐梦青春,中新网北京1月9日电 激情的歌声，曼妙的舞姿，走心的小品……北京电影学院2024新年文艺汇演日前在怀柔校区千人剧场举办，学生们用多样的艺术形式展现青春的活力和风采。 北京电影学院2024新年文艺汇演现场。北京电影学院供图 　　北京电影学院2024新年文艺汇演以“逐光造梦，青春启航”为主题，展望...,http://www.chinanews.com.cn/cul/2024/01-09/10142914.shtml
日本著名动画家月冈贞夫原画手稿杭州展出,中新网杭州1月9日电 (童笑雨)1月8日，“不行不至——月冈贞夫作品展”在浙江杭州举行，现场展出日本著名动画家、日本动画界“三元老”之一月冈贞夫的原画手稿等300余件作品。“此次展览可以说是我这辈子举办的个展中规模最宏大的。”月冈贞夫说。 月冈贞夫(右一)为参观者导览。童笑雨摄 　　月冈贞夫从...,http://www.chinanews.com.cn/cul/2024/01-09/10142906.shtml
“在密切合作中产生文化共鸣”,“文明交流互鉴是推动人类文明进步的重要动力。埃及与中国开展联合考古，为促进考古经验交流、增强对彼此文明文化的了解搭建了有效平台。”埃及考古专家、中埃卢克索孟图神庙联合考古项目埃方领队穆斯塔法&middot;萨基尔在接受本报记者专访时高度赞赏中方提出的全球文明倡议，认为该倡议倡导加强国际人文交流...,http://www.chinanews.com.cn/cul/2024/01-09/10142891.shtml
